estrategia,fecha_prueba,n_fechas_entrenamiento,modelo,n_prueba,positivos_prueba,accuracy,precision,recall,f1,f2,roc_auc,pr_auc,verdaderos_negativos,falsos_positivos,falsos_negativos,verdaderos_positivos
leave_one_date_out,2025-01-28,19,random_forest,5616,0,1.0,indefinido,indefinido,indefinido,indefinido,indefinido,indefinido,5616,0,0,0
leave_one_date_out,2025-04-13,19,random_forest,48683,0,1.0,indefinido,indefinido,indefinido,indefinido,indefinido,indefinido,48683,0,0,0
leave_one_date_out,2025-04-15,19,random_forest,5569,23,0.945592,0.070552,1.0,0.131805,0.27512,0.975925,0.074937,5243,303,0,23
leave_one_date_out,2025-04-28,19,random_forest,5594,390,0.777976,0.220839,0.864103,0.351775,0.546014,0.866291,0.31566,4015,1189,53,337
leave_one_date_out,2025-05-13,19,random_forest,47075,0,1.0,indefinido,indefinido,indefinido,indefinido,indefinido,indefinido,47075,0,0,0
leave_one_date_out,2025-07-17,19,random_forest,41498,2,0.999952,0.0,0.0,0.0,0.0,0.999325,0.184524,41496,0,2,0
leave_one_date_out,2025-11-21,19,random_forest,24076,3,0.999917,1.0,0.333333,0.5,0.384615,0.999972,0.866667,24073,0,2,1
leave_one_date_out,2025-11-24,19,random_forest,5588,87,0.993916,1.0,0.609195,0.757143,0.660848,0.996912,0.894437,5501,0,34,53
leave_one_date_out,2025-12-29,19,random_forest,35038,2,0.999943,0.5,0.5,0.5,0.5,0.999957,0.5,35035,1,1,1
leave_one_date_out,2026-01-08,19,random_forest,5605,347,0.938091,0.0,0.0,0.0,0.0,0.993503,0.937556,5258,0,347,0
leave_one_date_out,2026-02-02,19,random_forest,5453,0,0.997066,indefinido,indefinido,indefinido,indefinido,indefinido,indefinido,5437,16,0,0
leave_one_date_out,2026-02-07,19,random_forest,5333,0,1.0,indefinido,indefinido,indefinido,indefinido,indefinido,indefinido,5333,0,0,0
leave_one_date_out,2026-02-12,19,random_forest,37280,0,1.0,indefinido,indefinido,indefinido,indefinido,indefinido,indefinido,37280,0,0,0
leave_one_date_out,2026-03-24,19,random_forest,48565,0,1.0,indefinido,indefinido,indefinido,indefinido,indefinido,indefinido,48565,0,0,0
leave_one_date_out,2026-03-29,19,random_forest,5614,420,0.901853,0.014815,0.004762,0.007207,0.00551,0.828526,0.21269,5061,133,418,2
leave_one_date_out,2026-04-13,19,random_forest,53984,222,0.996017,1.0,0.031532,0.061135,0.039106,0.768507,0.095371,53762,0,215,7
leave_one_date_out,2026-04-28,19,random_forest,53722,1788,0.979226,0.997041,0.376957,0.547078,0.430506,0.954891,0.811323,51932,2,1114,674
