lago,fecha,indice,metodo,coeficiente,p_value,n_pares,direccion,magnitud,quality_flag_cianobacteria,quality_flag_indice,nota_inferencia
atitlan,2026-02-12,ndwi,spearman,0.13718131,<1e-300,1218444,positiva,debil,revisar_valores_atipicos,revisar_valores_atipicos,p_value_exploratorio_por_autocorrelacion_espacial
atitlan,2026-03-24,ndvi,pearson,-0.03332344,1.7716486e-296,1218939,negativa,muy_debil,calculado,calculado,p_value_exploratorio_por_autocorrelacion_espacial
atitlan,2026-03-24,ndvi,spearman,-0.05933345,<1e-300,1218939,negativa,muy_debil,calculado,calculado,p_value_exploratorio_por_autocorrelacion_espacial
atitlan,2026-03-24,ndwi,pearson,0.06133223,<1e-300,1218940,positiva,muy_debil,calculado,calculado,p_value_exploratorio_por_autocorrelacion_espacial
atitlan,2026-03-24,ndwi,spearman,0.19533357,<1e-300,1218940,positiva,debil,calculado,calculado,p_value_exploratorio_por_autocorrelacion_espacial
atitlan,2026-04-13,ndvi,pearson,0.04361634,<1e-300,1216030,positiva,muy_debil,calculado,calculado,p_value_exploratorio_por_autocorrelacion_espacial
atitlan,2026-04-13,ndvi,spearman,0.18355485,<1e-300,1216030,positiva,debil,calculado,calculado,p_value_exploratorio_por_autocorrelacion_espacial
atitlan,2026-04-13,ndwi,pearson,-0.39958814,<1e-300,1216095,negativa,moderada,calculado,calculado,p_value_exploratorio_por_autocorrelacion_espacial
atitlan,2026-04-13,ndwi,spearman,-0.57753119,<1e-300,1216095,negativa,fuerte,calculado,calculado,p_value_exploratorio_por_autocorrelacion_espacial
atitlan,2026-04-28,ndvi,pearson,0.10093752,<1e-300,1214975,positiva,debil,calculado,calculado,p_value_exploratorio_por_autocorrelacion_espacial
atitlan,2026-04-28,ndvi,spearman,0.23361909,<1e-300,1214975,positiva,debil,calculado,calculado,p_value_exploratorio_por_autocorrelacion_espacial
atitlan,2026-04-28,ndwi,pearson,-0.30981324,<1e-300,1214975,negativa,moderada,calculado,calculado,p_value_exploratorio_por_autocorrelacion_espacial
atitlan,2026-04-28,ndwi,spearman,-0.43547755,<1e-300,1214975,negativa,moderada,calculado,calculado,p_value_exploratorio_por_autocorrelacion_espacial
atitlan,2026-07-22,ndvi,pearson,0.02931025,1.3902392e-228,1212296,positiva,muy_debil,revisar_valores_atipicos,calculado,p_value_exploratorio_por_autocorrelacion_espacial
atitlan,2026-07-22,ndvi,spearman,0.21326881,<1e-300,1212296,positiva,debil,revisar_valores_atipicos,calculado,p_value_exploratorio_por_autocorrelacion_espacial
atitlan,2026-07-22,ndwi,pearson,-0.24558716,<1e-300,1212310,negativa,debil,revisar_valores_atipicos,calculado,p_value_exploratorio_por_autocorrelacion_espacial
atitlan,2026-07-22,ndwi,spearman,-0.5382739,<1e-300,1212310,negativa,fuerte,revisar_valores_atipicos,calculado,p_value_exploratorio_por_autocorrelacion_espacial
